step,actual,persistence_forecast,moving_average_forecast
0,885.84,885.4,885.8941666666666
1,909.43,885.4,885.8941666666666
2,884.25,885.4,885.8941666666666
3,878.53,885.4,885.8941666666666
4,888.72,885.4,885.8941666666666
5,886.15,885.4,885.8941666666666
6,894.0,885.4,885.8941666666666
7,878.86,885.4,885.8941666666666
8,895.15,885.4,885.8941666666666
9,877.3,885.4,885.8941666666666
10,884.69,885.4,885.8941666666666
11,889.16,885.4,885.8941666666666
12,909.43,885.84,885.9983333333334
13,884.25,885.84,885.9983333333334
14,878.53,885.84,885.9983333333334
15,888.72,885.84,885.9983333333334
16,886.15,885.84,885.9983333333334
17,894.0,885.84,885.9983333333334
18,878.86,885.84,885.9983333333334
19,895.15,885.84,885.9983333333334
20,877.3,885.84,885.9983333333334
21,884.69,885.84,885.9983333333334
22,889.16,885.84,885.9983333333334
23,887.75,885.84,885.9983333333334
24,884.25,909.43,888.35
25,878.53,909.43,888.35
26,888.72,909.43,888.35
27,886.15,909.43,888.35
28,894.0,909.43,888.35
29,878.86,909.43,888.35
30,895.15,909.43,888.35
31,877.3,909.43,888.35
32,884.69,909.43,888.35
33,889.16,909.43,888.35
34,887.75,909.43,888.35
35,881.23,909.43,888.35
36,878.53,884.25,887.4358333333333
37,888.72,884.25,887.4358333333333
38,886.15,884.25,887.4358333333333
39,894.0,884.25,887.4358333333333
40,878.86,884.25,887.4358333333333
41,895.15,884.25,887.4358333333333
42,877.3,884.25,887.4358333333333
43,884.69,884.25,887.4358333333333
44,889.16,884.25,887.4358333333333
45,887.75,884.25,887.4358333333333
46,881.23,884.25,887.4358333333333
47,880.68,884.25,887.4358333333333
48,888.72,878.53,887.2641666666667
49,886.15,878.53,887.2641666666667
50,894.0,878.53,887.2641666666667
51,878.86,878.53,887.2641666666667
52,895.15,878.53,887.2641666666667
53,877.3,878.53,887.2641666666667
54,884.69,878.53,887.2641666666667
55,889.16,878.53,887.2641666666667
56,887.75,878.53,887.2641666666667
57,881.23,878.53,887.2641666666667
58,880.68,878.53,887.2641666666667
59,884.01,878.53,887.2641666666667
60,886.15,888.72,888.3658333333333
61,894.0,888.72,888.3658333333333
62,878.86,888.72,888.3658333333333
63,895.15,888.72,888.3658333333333
64,877.3,888.72,888.3658333333333
65,884.69,888.72,888.3658333333333
66,889.16,888.72,888.3658333333333
67,887.75,888.72,888.3658333333333
68,881.23,888.72,888.3658333333333
69,880.68,888.72,888.3658333333333
70,884.01,888.72,888.3658333333333
71,886.08,888.72,888.3658333333333
72,894.0,886.15,888.6241666666666
73,878.86,886.15,888.6241666666666
74,895.15,886.15,888.6241666666666
75,877.3,886.15,888.6241666666666
76,884.69,886.15,888.6241666666666
77,889.16,886.15,888.6241666666666
78,887.75,886.15,888.6241666666666
79,881.23,886.15,888.6241666666666
80,880.68,886.15,888.6241666666666
81,884.01,886.15,888.6241666666666
82,886.08,886.15,888.6241666666666
83,886.56,886.15,888.6241666666666
84,878.86,894.0,889.1666666666666
85,895.15,894.0,889.1666666666666
86,877.3,894.0,889.1666666666666
87,884.69,894.0,889.1666666666666
88,889.16,894.0,889.1666666666666
89,887.75,894.0,889.1666666666666
90,881.23,894.0,889.1666666666666
91,880.68,894.0,889.1666666666666
92,884.01,894.0,889.1666666666666
93,886.08,894.0,889.1666666666666
94,886.56,894.0,889.1666666666666
95,884.81,894.0,889.1666666666666
96,895.15,878.86,887.6500000000001
97,877.3,878.86,887.6500000000001
98,884.69,878.86,887.6500000000001
99,889.16,878.86,887.6500000000001
100,887.75,878.86,887.6500000000001
101,881.23,878.86,887.6500000000001
102,880.68,878.86,887.6500000000001
103,884.01,878.86,887.6500000000001
104,886.08,878.86,887.6500000000001
105,886.56,878.86,887.6500000000001
106,884.81,878.86,887.6500000000001
107,881.18,878.86,887.6500000000001
108,877.3,895.15,889.0024999999999
109,884.69,895.15,889.0024999999999
110,889.16,895.15,889.0024999999999
111,887.75,895.15,889.0024999999999
112,881.23,895.15,889.0024999999999
113,880.68,895.15,889.0024999999999
114,884.01,895.15,889.0024999999999
115,886.08,895.15,889.0024999999999
116,886.56,895.15,889.0024999999999
117,884.81,895.15,889.0024999999999
118,881.18,895.15,889.0024999999999
119,875.62,895.15,889.0024999999999
120,884.69,877.3,888.0966666666665
121,889.16,877.3,888.0966666666665
122,887.75,877.3,888.0966666666665
123,881.23,877.3,888.0966666666665
124,880.68,877.3,888.0966666666665
125,884.01,877.3,888.0966666666665
126,886.08,877.3,888.0966666666665
127,886.56,877.3,888.0966666666665
128,884.81,877.3,888.0966666666665
129,881.18,877.3,888.0966666666665
130,875.62,877.3,888.0966666666665
131,875.22,877.3,888.0966666666665
132,889.16,884.69,887.36
133,887.75,884.69,887.36
134,881.23,884.69,887.36
135,880.68,884.69,887.36
136,884.01,884.69,887.36
137,886.08,884.69,887.36
138,886.56,884.69,887.36
139,884.81,884.69,887.36
140,881.18,884.69,887.36
141,875.62,884.69,887.36
142,875.22,884.69,887.36
143,874.88,884.69,887.36
144,887.75,889.16,887.6733333333333
145,881.23,889.16,887.6733333333333
146,880.68,889.16,887.6733333333333
147,884.01,889.16,887.6733333333333
148,886.08,889.16,887.6733333333333
149,886.56,889.16,887.6733333333333
150,884.81,889.16,887.6733333333333
151,881.18,889.16,887.6733333333333
152,875.62,889.16,887.6733333333333
153,875.22,889.16,887.6733333333333
154,874.88,889.16,887.6733333333333
155,876.64,889.16,887.6733333333333
156,881.23,887.75,887.8325
157,880.68,887.75,887.8325
158,884.01,887.75,887.8325
159,886.08,887.75,887.8325
160,886.56,887.75,887.8325
161,884.81,887.75,887.8325
162,881.18,887.75,887.8325
163,875.62,887.75,887.8325
164,875.22,887.75,887.8325
165,874.88,887.75,887.8325
166,876.64,887.75,887.8325
167,875.31,887.75,887.8325
168,880.68,881.23,885.4825
169,884.01,881.23,885.4825
170,886.08,881.23,885.4825
171,886.56,881.23,885.4825
172,884.81,881.23,885.4825
173,881.18,881.23,885.4825
174,875.62,881.23,885.4825
175,875.22,881.23,885.4825
176,874.88,881.23,885.4825
177,876.64,881.23,885.4825
178,875.31,881.23,885.4825
179,876.26,881.23,885.4825
180,884.01,880.68,885.185
181,886.08,880.68,885.185
182,886.56,880.68,885.185
183,884.81,880.68,885.185
184,881.18,880.68,885.185
185,875.62,880.68,885.185
186,875.22,880.68,885.185
187,874.88,880.68,885.185
188,876.64,880.68,885.185
189,875.31,880.68,885.185
190,876.26,880.68,885.185
191,877.48,880.68,885.185
192,886.08,884.01,885.6416666666668
193,886.56,884.01,885.6416666666668
194,884.81,884.01,885.6416666666668
195,881.18,884.01,885.6416666666668
196,875.62,884.01,885.6416666666668
197,875.22,884.01,885.6416666666668
198,874.88,884.01,885.6416666666668
199,876.64,884.01,885.6416666666668
200,875.31,884.01,885.6416666666668
201,876.26,884.01,885.6416666666668
202,877.48,884.01,885.6416666666668
203,877.57,884.01,885.6416666666668
204,886.56,886.08,885.4216666666666
205,884.81,886.08,885.4216666666666
206,881.18,886.08,885.4216666666666
207,875.62,886.08,885.4216666666666
208,875.22,886.08,885.4216666666666
209,874.88,886.08,885.4216666666666
210,876.64,886.08,885.4216666666666
211,875.31,886.08,885.4216666666666
212,876.26,886.08,885.4216666666666
213,877.48,886.08,885.4216666666666
214,877.57,886.08,885.4216666666666
215,872.47,886.08,885.4216666666666
216,884.81,886.56,885.4558333333333
217,881.18,886.56,885.4558333333333
218,875.62,886.56,885.4558333333333
219,875.22,886.56,885.4558333333333
220,874.88,886.56,885.4558333333333
221,876.64,886.56,885.4558333333333
222,875.31,886.56,885.4558333333333
223,876.26,886.56,885.4558333333333
224,877.48,886.56,885.4558333333333
225,877.57,886.56,885.4558333333333
226,872.47,886.56,885.4558333333333
227,872.52,886.56,885.4558333333333
228,881.18,884.81,884.6899999999999
229,875.62,884.81,884.6899999999999
230,875.22,884.81,884.6899999999999
231,874.88,884.81,884.6899999999999
232,876.64,884.81,884.6899999999999
233,875.31,884.81,884.6899999999999
234,876.26,884.81,884.6899999999999
235,877.48,884.81,884.6899999999999
236,877.57,884.81,884.6899999999999
237,872.47,884.81,884.6899999999999
238,872.52,884.81,884.6899999999999
239,874.08,884.81,884.6899999999999
240,875.62,881.18,884.8833333333332
241,875.22,881.18,884.8833333333332
242,874.88,881.18,884.8833333333332
243,876.64,881.18,884.8833333333332
244,875.31,881.18,884.8833333333332
245,876.26,881.18,884.8833333333332
246,877.48,881.18,884.8833333333332
247,877.57,881.18,884.8833333333332
248,872.47,881.18,884.8833333333332
249,872.52,881.18,884.8833333333332
250,874.08,881.18,884.8833333333332
251,874.82,881.18,884.8833333333332
252,875.22,875.62,883.2558333333333
253,874.88,875.62,883.2558333333333
254,876.64,875.62,883.2558333333333
255,875.31,875.62,883.2558333333333
256,876.26,875.62,883.2558333333333
257,877.48,875.62,883.2558333333333
258,877.57,875.62,883.2558333333333
259,872.47,875.62,883.2558333333333
260,872.52,875.62,883.2558333333333
261,874.08,875.62,883.2558333333333
262,874.82,875.62,883.2558333333333
263,878.42,875.62,883.2558333333333
264,874.88,875.22,883.0825
265,876.64,875.22,883.0825
266,875.31,875.22,883.0825
267,876.26,875.22,883.0825
268,877.48,875.22,883.0825
269,877.57,875.22,883.0825
270,872.47,875.22,883.0825
271,872.52,875.22,883.0825
272,874.08,875.22,883.0825
273,874.82,875.22,883.0825
274,878.42,875.22,883.0825
275,877.32,875.22,883.0825
276,876.64,874.88,882.2649999999999
277,875.31,874.88,882.2649999999999
278,876.26,874.88,882.2649999999999
279,877.48,874.88,882.2649999999999
280,877.57,874.88,882.2649999999999
281,872.47,874.88,882.2649999999999
282,872.52,874.88,882.2649999999999
283,874.08,874.88,882.2649999999999
284,874.82,874.88,882.2649999999999
285,878.42,874.88,882.2649999999999
286,877.32,874.88,882.2649999999999
287,872.51,874.88,882.2649999999999
288,875.31,876.64,881.2216666666665
289,876.26,876.64,881.2216666666665
290,877.48,876.64,881.2216666666665
291,877.57,876.64,881.2216666666665
292,872.47,876.64,881.2216666666665
293,872.52,876.64,881.2216666666665
294,874.08,876.64,881.2216666666665
295,874.82,876.64,881.2216666666665
296,878.42,876.64,881.2216666666665
297,877.32,876.64,881.2216666666665
298,872.51,876.64,881.2216666666665
299,883.48,876.64,881.2216666666665
300,876.26,875.31,880.185
301,877.48,875.31,880.185
302,877.57,875.31,880.185
303,872.47,875.31,880.185
304,872.52,875.31,880.185
305,874.08,875.31,880.185
306,874.82,875.31,880.185
307,878.42,875.31,880.185
308,877.32,875.31,880.185
309,872.51,875.31,880.185
310,883.48,875.31,880.185
311,885.64,875.31,880.185
312,877.48,876.26,879.7708333333334
313,877.57,876.26,879.7708333333334
314,872.47,876.26,879.7708333333334
315,872.52,876.26,879.7708333333334
316,874.08,876.26,879.7708333333334
317,874.82,876.26,879.7708333333334
318,878.42,876.26,879.7708333333334
319,877.32,876.26,879.7708333333334
320,872.51,876.26,879.7708333333334
321,883.48,876.26,879.7708333333334
322,885.64,876.26,879.7708333333334
323,885.5,876.26,879.7708333333334
324,877.57,877.48,879.5041666666666
325,872.47,877.48,879.5041666666666
